"day","total_steps"
2016-09-12,9372
2016-09-13,9656
2016-09-14,1829
2016-09-26,8101
2016-09-27,3053
2016-09-28,3028
2016-09-29,3834
2016-09-30,7983
2016-10-01,7301
2016-10-02,5998
2016-10-03,6384
2016-10-04,6436
2016-10-05,6401
2016-10-06,8159
2016-10-07,6100
2016-10-08,14545
2016-10-09,7635
2016-10-10,6482
2016-10-11,8637
2016-10-12,5999
2016-10-13,7780
2016-10-14,3398
2016-10-15,7308
2016-10-16,8397
2016-10-17,2028
2016-10-18,7903
2016-10-19,5757
2016-10-20,7103
2016-10-21,1016
2016-10-22,5160
2016-10-23,6731
2016-10-24,8856
2016-10-25,10082
2016-10-26,6764
2016-10-27,4860
2016-10-28,6615
2016-10-29,8768
2016-10-30,15598
2016-10-31,3823
2016-11-01,5513
2016-11-02,8229
2016-11-03,7217
2016-11-04,5339
2016-11-05,3796
2016-11-06,14586
2016-11-07,10002
2016-11-08,7422
2016-11-09,5840
2016-11-10,3432
2016-11-11,9436
2016-11-12,9498
2016-11-13,4106
2016-11-14,4138
2016-11-15,7539
2016-11-16,8878
2016-11-17,8115
2016-11-18,8276
2016-11-19,13447
2016-11-20,13171
2016-11-21,4583
2016-11-22,6160
2016-11-23,7133
2016-11-24,1946
2016-11-25,3840
2016-11-26,1331
2016-11-27,1189
2016-11-28,3749
2016-11-29,8521
2016-11-30,6114
2016-12-01,6396
2016-12-02,3386
2016-12-03,7774
2016-12-04,11623
2016-12-05,7957
2016-12-06,4708
2016-12-07,7296
2016-12-08,5952
2016-12-09,5171
2016-12-10,15258
2016-12-11,7422
2016-12-12,5552
2016-12-13,5587
2016-12-14,3610
2016-12-15,5017
2016-12-16,7305
2016-12-17,17134
2016-12-18,5041
2016-12-19,10322
2016-12-20,5262
2016-12-21,6813
2016-12-22,4484
2016-12-23,5258
2016-12-24,7603
2016-12-25,3564
2016-12-26,1639
2016-12-27,7967
2016-12-28,9074
2016-12-29,2254
2016-12-30,12994
2016-12-31,13570
2017-01-01,5582
2017-01-02,5118
2017-01-03,5595
2017-01-04,5439
2017-01-05,6540
2017-01-06,7742
2017-01-07,7141
2017-01-08,4979
2017-01-09,7583
2017-01-10,2821
2017-01-11,2917
2017-01-12,3097
2017-01-13,6716
2017-01-14,4036
2017-01-15,1861
2017-01-16,1963
2017-01-17,8261
2017-01-18,6689
2017-01-19,9782
2017-01-20,3369
2017-01-21,4356
2017-01-22,9444
2017-01-23,3699
2017-01-24,6507
2017-01-25,8998
2017-01-26,13051
2017-01-27,7764
2017-01-28,15230
2017-01-29,10630
2017-01-30,6684
2017-01-31,2153
2017-02-01,2841
2017-02-02,2752
2017-02-03,4732
2017-02-04,13602
2017-02-05,11651
2017-02-06,2466
2017-02-07,5150
2017-02-08,4095
2017-02-09,6514
2017-02-10,6823
2017-02-11,11503
2017-02-12,9223
2017-02-13,9333
2017-02-14,5722
2017-02-15,11706
2017-02-16,3818
2017-02-17,5658
2017-02-18,1767
2017-02-19,7060
2017-02-20,9304
2017-02-21,7512
2017-02-22,2969
2017-02-23,3432
2017-02-24,13875
2017-02-25,6160
2017-02-26,6865
2017-02-27,5104
2017-02-28,6550
2017-03-01,8453
2017-03-02,6747
2017-03-03,3145
2017-03-04,6100
2017-03-05,10960
2017-03-06,5388
2017-03-07,7387
2017-03-08,6195
2017-03-09,6721
2017-03-10,1134
2017-03-11,3014
2017-03-12,4343
